area_type,bath,balcony,price,availability_refined,availibility_due,size_bhk,scale,total_sqft_refined
Super built-up  Area,2,2,48,Ready To Move,,2,1,1100
Super built-up  Area,2,1,38,Ready To Move,,2,1,1187
Super built-up  Area,2,2,72,Ready To Move,,2,1,1150
Super built-up  Area,3,2,252,Ready To Move,,3,1,2400
Super built-up  Area,2,3,41.94,Under Construction,Apr,2,1,1180
Super built-up  Area,3,2,85.2,Ready To Move,,3,1,1820
Plot  Area,6,3,180,Ready To Move,,6,1,1200
Plot  Area,6,2,775,Ready To Move,,3,1,2400
Super built-up  Area,4,1,246,Ready To Move,,4,1,3628
Built-up  Area,3,2,70,Ready To Move,,3,1,1430
Super built-up  Area,2,1,40,Under Construction,Jan,2,1,700
Plot  Area,1,0,70,Ready To Move,,2,1,1200
Super built-up  Area,2,1,40.77,Under Construction,Dec,2,1,1165
Super built-up  Area,3,2,118,Ready To Move,,3,1,1569
Super built-up  Area,4,3,95,Ready To Move,,3,1,1950
Plot  Area,3,1,70,Ready To Move,,2,1,1200
Super built-up  Area,3,2,125,Ready To Move,,3,1,2437
Super built-up  Area,2,2,46.7,Ready To Move,,2,1,950
Built-up  Area,3,3,115,Under Construction,Jul,3,1,1685
Super built-up  Area,4,3,205,Ready To Move,,4,1,3270
Super built-up  Area,2,2,110,Ready To Move,,2,1,1314
Super built-up  Area,3,2,40,Under Construction,May,3,1,1250
Built-up  Area,2,2,68,Ready To Move,,2,1,1130
Plot  Area,9,3,122,Ready To Move,,6,1,1200
Plot  Area,5,2,160,Ready To Move,,6,1,890
Plot  Area,3,2,95,Ready To Move,,3,1,857
Super built-up  Area,3,,145,Ready To Move,,3,1,2247
Super built-up  Area,3,2,85,Ready To Move,,3,1,1550
Super built-up  Area,2,2,100,Ready To Move,,3,1,1715
Super built-up  Area,2,1,53,Ready To Move,,2,1,1053
Plot  Area,3,0,50,Ready To Move,,3,1,1200
Plot  Area,2,1,230,Ready To Move,,3,1,1800
Built-up  Area,4,0,97,Ready To Move,,5,1,2400
Super built-up  Area,1,3,60,Ready To Move,,2,1,1245
Super built-up  Area,2,1,160,Ready To Move,,2,1,1320
Plot  Area,5,3,265,Ready To Move,,4,1,3940
Built-up  Area,2,1,65,Ready To Move,,3,1,1241
Built-up  Area,4,2,260,Ready To Move,,3,1,2980
Plot  Area,5,3,130,Ready To Move,,6,1,600
Super built-up  Area,2,2,57,Ready To Move,,2,1,1090
Super built-up  Area,2,1,50,Ready To Move,,3,1,1390
Plot  Area,4,3,175,Ready To Move,,8,1,600
Super built-up  Area,5,2,275,Ready To Move,,3,1,2750
Super built-up  Area,2,1,52.97,Under Construction,Dec,3,1,1100
Built-up  Area,2,2,103,Ready To Move,,2,1,1350
Built-up  Area,2,2,55,Ready To Move,,2,1,800
Super built-up  Area,3,2,116,Ready To Move,,3,1,1787
Built-up  Area,3,2,220,Ready To Move,,3,1,2400
Super built-up  Area,4,2,325,Ready To Move,,4,1,3700
Super built-up  Area,3,2,93.01,Ready To Move,,3,1,1691
Super built-up  Area,4,3,111,Under Construction,Jul,4,1,2119
Plot  Area,3,,95,Under Construction,Mar,3,1,2325
Plot  Area,5,0,80,Ready To Move,,5,1,570
Super built-up  Area,3,2,102,Ready To Move,,3,1,1896
Super built-up  Area,3,2,48.51,Under Construction,Oct,3,1,1540
Super built-up  Area,2,2,95,Ready To Move,,2,1,1244
Super built-up  Area,2,2,65,Ready To Move,,3,1,1365
Super built-up  Area,1,1,27.5,Under Construction,May,1,1,580
Super built-up  Area,3,2,83.87,Under Construction,Dec,3,1,1355
Plot  Area,4,2,180,Ready To Move,,3,1,1500
Super built-up  Area,2,3,62,Ready To Move,,2,1,1513
Super built-up  Area,2,1,41.13,Ready To Move,,2,1,1175
Super built-up  Area,4,2,139,Under Construction,Jan,3,1,2087
Super built-up  Area,3,2,145,Under Construction,Dec,3,1,2273
Super built-up  Area,3,2,150,Under Construction,May,3,1,2050
Built-up  Area,2,1,75,Ready To Move,,2,1,1200
Super built-up  Area,2,3,59,Ready To Move,,2,1,1190
Super built-up  Area,3,2,85,Ready To Move,,4,1,600
Super built-up  Area,2,2,49.86,Under Construction,Apr,2,1,1019
Super built-up  Area,3,2,133,Ready To Move,,3,1,1830
Plot  Area,7,1,299,Ready To Move,,7,1,4278
Super built-up  Area,2,1,56,Ready To Move,,2,1,1028
Built-up  Area,2,2,100,Ready To Move,,2,1,1300
Super built-up  Area,2,1,67,Ready To Move,,2,1,1160
Super built-up  Area,3,2,78,Ready To Move,,3,1,1505
Super built-up  Area,2,1,55.55,Ready To Move,,2,1,1250
Plot  Area,2,1,50,Ready To Move,,1,1,400
Super built-up  Area,2,1,41.68,Ready To Move,,2,1,1175
Super built-up  Area,2,2,57.6,Ready To Move,,2,1,1100
Super built-up  Area,3,2,120,Ready To Move,,3,1,2159
Super built-up  Area,2,1,56.45,Under Construction,May,2,1,1230
Plot  Area,4,2,180,Ready To Move,,3,1,1200
Built-up  Area,6,1,165,Ready To Move,,5,1,3100
Super built-up  Area,7,0,287,Under Construction,Jun,5,1,5020
Built-up  Area,1,0,48,Ready To Move,,1,1,1200
Super built-up  Area,2,1,71,Ready To Move,,2,1,1340
Super built-up  Area,2,2,89,Ready To Move,,3,1,1750
Super built-up  Area,2,1,100,Ready To Move,,2,1,1400
Built-up  Area,3,0,60,Ready To Move,,3,1,1350
Super built-up  Area,3,3,62,Ready To Move,,3,1,1675
Super built-up  Area,2,1,66.33,Under Construction,Dec,2,1,1340
Built-up  Area,1,0,68,Ready To Move,,2,1,600
Super built-up  Area,2,2,76,Ready To Move,,2,1,1276
Super built-up  Area,2,3,76,Ready To Move,,3,1,1738
Super built-up  Area,2,2,59.9,Ready To Move,,2,1,1190
Super built-up  Area,2,1,65.45,Under Construction,Apr,2,1,1128
Super built-up  Area,2,1,55,Ready To Move,,2,1,1250
Built-up  Area,2,2,90,Ready To Move,,2,1,1450
Super built-up  Area,2,1,53,Ready To Move,,2,1,1084
Built-up  Area,4,2,90,Ready To Move,,4,1,2150
Built-up  Area,4,0,625,Ready To Move,,4,1,6000
Plot  Area,3,0,77,Ready To Move,,4,1,600
Super built-up  Area,2,2,65,Ready To Move,,2,1,1250
Plot  Area,4,1,240,Ready To Move,,3,1,2400
Super built-up  Area,3,0,65,Ready To Move,,3,1,1304
Super built-up  Area,3,2,268,Ready To Move,,3,1,1640
Built-up  Area,2,1,77.44,Ready To Move,,2,1,980
Super built-up  Area,2,2,49.5,Ready To Move,,2,1,1275
Plot  Area,1,1,150,Ready To Move,,1,1,10030
Plot  Area,4,0,140,Ready To Move,,3,1,2500
Built-up  Area,4,0,225,Ready To Move,,4,1,3600
Plot  Area,4,0,95,Ready To Move,,3,1,2400
Super built-up  Area,3,2,280,Ready To Move,,3,1,2300
Super built-up  Area,2,2,70.18,Under Construction,May,3,1,1450
Super built-up  Area,2,1,40,Ready To Move,,2,1,890
Super built-up  Area,2,3,85,Ready To Move,,2,1,1340
Super built-up  Area,2,1,75,Ready To Move,,3,1,1100
Super built-up  Area,2,1,40,Ready To Move,,2,1,750
Plot  Area,4,2,125,Ready To Move,,4,1,700
Super built-up  Area,2,2,66,Ready To Move,,2,1,1300
Super built-up  Area,2,1,120,Under Construction,Dec,2,1,1301
Built-up  Area,8,1,130,Ready To Move,,9,1,3200
Plot  Area,2,,92,Ready To Move,,3,1,1900
Super built-up  Area,2,1,105,Under Construction,Jul,2,1,1299
Super built-up  Area,3,3,40,Under Construction,May,3,1,1250
Plot  Area,4,2,300,Ready To Move,,4,1,1600
Super built-up  Area,2,1,55,Ready To Move,,2,1,925
Plot  Area,3,3,250,Ready To Move,,3,1,3900
Super built-up  Area,2,1,45,Ready To Move,,2,1,1107
Plot  Area,2,2,160,Ready To Move,,2,1,1400
Super built-up  Area,2,1,67,Ready To Move,,2,1,1300
Built-up  Area,2,1,62,Ready To Move,,2,1,570
Super built-up  Area,3,2,95,Ready To Move,,3,1,1715
Built-up  Area,2,1,55,Ready To Move,,2,1,1200
Plot  Area,5,1,280,Ready To Move,,6,1,1200
Super built-up  Area,2,1,60,Ready To Move,,2,1,703
Super built-up  Area,2,2,29.47,Under Construction,Sep,2,1,921
Super built-up  Area,2,2,65,Ready To Move,,2,1,1144
Super built-up  Area,1,1,26.01,Under Construction,Jan,1,1,525
Super built-up  Area,2,2,56,Ready To Move,,3,1,1400
Super built-up  Area,1,1,33,Under Construction,Jun,1,1,661
Plot  Area,6,2,160,Ready To Move,,6,1,1200
Built-up  Area,5,2,70,Ready To Move,,5,1,1200
Super built-up  Area,3,1,91,Ready To Move,,3,1,1705
Plot  Area,5,1,170,Ready To Move,,5,1,1035
Super built-up  Area,2,0,55,Ready To Move,,3,1,1430
Super built-up  Area,2,2,55,Ready To Move,,2,1,1240
Super built-up  Area,2,2,60.8,Ready To Move,,3,1,1325
Super built-up  Area,2,2,44,Ready To Move,,2,1,1230
Super built-up  Area,2,3,28,Ready To Move,,2,1,1000
Plot  Area,2,1,24.5,Ready To Move,,4,1,740
Super built-up  Area,2,2,46.45,Ready To Move,,3,1,1330
Super built-up  Area,5,,275,Ready To Move,,4,1,3005
Super built-up  Area,3,2,170,Ready To Move,,3,1,1300
Super built-up  Area,2,2,46,Ready To Move,,2,1,1243
Built-up  Area,2,1,60.84,Ready To Move,,4,1,936
Super built-up  Area,2,2,100,Under Construction,Apr,3,1,1500
Plot  Area,4,1,156,Ready To Move,,3,1,1200
Built-up  Area,2,2,72,Ready To Move,,2,1,1073
Built-up  Area,2,2,56,Ready To Move,,2,1,1300
Plot  Area,4,3,435,Under Construction,May,4,1,4201
Built-up  Area,2,1,30.75,Under Construction,Dec,2,1,1065
Super built-up  Area,2,1,66.88,Under Construction,Apr,2,1,1216
Built-up  Area,3,2,59,Ready To Move,,3,1,1252
Super built-up  Area,2,1,44.8,Under Construction,Aug,2,1,1196
Built-up  Area,2,2,44,Ready To Move,,2,1,1027
Plot  Area,2,1,75,Ready To Move,,3,1,610
Super built-up  Area,2,2,57.15,Ready To Move,,3,1,1270
Super built-up  Area,2,2,39,Under Construction,Nov,2,1,1171
Super built-up  Area,2,3,48.6,Ready To Move,,3,1,1215
Plot  Area,1,0,20,Ready To Move,,1,1,600
Super built-up  Area,2,1,77,Under Construction,Dec,2,1,1180
Built-up  Area,2,1,33.51,Under Construction,Aug,2,1,1160
Plot  Area,4,3,400,Ready To Move,,4,1,4382
Super built-up  Area,3,2,139,Under Construction,Sep,3,1,2140
Super built-up  Area,3,1,100,Ready To Move,,3,1,1500
Super built-up  Area,2,2,52,Ready To Move,,2,1,1008
Super built-up  Area,4,3,129,Ready To Move,,3,1,1921
Super built-up  Area,2,2,32,Ready To Move,,2,1,1127
Super built-up  Area,3,1,124,Under Construction,May,3,1,1621
Plot  Area,3,0,360,Ready To Move,,3,1,2400
Super built-up  Area,2,2,77.25,Ready To Move,,3,1,1030
Super built-up  Area,2,1,84,Under Construction,Aug,2,1,1314
Super built-up  Area,3,1,56,Ready To Move,,3,1,1220
Plot  Area,3,1,97,Under Construction,Mar,4,1,600
Built-up  Area,2,3,85,Ready To Move,,3,1,1590
Super built-up  Area,2,1,49.5,Ready To Move,,2,1,703
Super built-up  Area,3,2,64.62,Under Construction,Aug,3,1,1795
Built-up  Area,3,0,132,Ready To Move,,4,1,3000
Super built-up  Area,4,2,242,Under Construction,Dec,4,1,4395
Super built-up  Area,2,1,35,Ready To Move,,2,1,825
Super built-up  Area,6,1,350,Under Construction,Dec,4,1,4025
Super built-up  Area,2,1,70,Under Construction,Jan,3,1,1254
Built-up  Area,3,2,114,Ready To Move,,3,1,2040
Super built-up  Area,4,2,154,Ready To Move,,3,1,2215
Super built-up  Area,2,2,125,Ready To Move,,2,1,1478
Super built-up  Area,4,3,337,Ready To Move,,3,1,2475
Super built-up  Area,3,2,298,Ready To Move,,3,1,1669
Super built-up  Area,3,2,79.5,Ready To Move,,3,1,1820
Super built-up  Area,3,1,89,Under Construction,Dec,3,1,1623
Super built-up  Area,2,2,46,Ready To Move,,2,1,1243
Super built-up  Area,2,2,40.5,Ready To Move,,2,1,1200
Super built-up  Area,3,3,72,Ready To Move,,3,1,1613
Super built-up  Area,2,2,80,Ready To Move,,2,1,1293
Super built-up  Area,2,2,28.5,Ready To Move,,2,1,1065
Super built-up  Area,2,1,69.57,Under Construction,Apr,2,1,940
Super built-up  Area,2,1,65,Ready To Move,,3,1,1181
Super built-up  Area,3,2,275,Ready To Move,,3,1,2215
Built-up  Area,2,,75,Ready To Move,,1,1,1100
Super built-up  Area,2,1,36,Ready To Move,,2,1,1050
Super built-up  Area,2,1,75,Ready To Move,,3,1,1260
Super built-up  Area,3,2,425,Ready To Move,,5,1,2800
Super built-up  Area,3,2,56,Ready To Move,,3,1,1500
Plot  Area,6,3,132,Ready To Move,,6,1,1200
Plot  Area,2,0,66,Under Construction,May,2,1,1000
Super built-up  Area,3,3,73,Ready To Move,,3,1,1530
Super built-up  Area,2,2,46,Ready To Move,,2,1,1140
Super built-up  Area,3,3,115,Ready To Move,,3,1,1864
Built-up  Area,3,3,55,Ready To Move,,3,1,1575
Plot  Area,3,,105,Under Construction,Dec,3,1,1200
Super built-up  Area,2,1,45,Ready To Move,,2,1,945
Super built-up  Area,3,2,100,Ready To Move,,3,1,1691
Plot  Area,2,3,135,Ready To Move,,2,1,1200
Built-up  Area,3,1,35.25,Under Construction,Aug,3,1,1220
Built-up  Area,1,1,35,Ready To Move,,1,1,600
Super built-up  Area,2,2,39,Under Construction,Aug,2,1,1160
Super built-up  Area,2,,89.5,Ready To Move,,3,1,1950
Super built-up  Area,3,1,85,Ready To Move,,3,1,1650
Built-up  Area,4,1,150,Ready To Move,,4,1,2400
Super built-up  Area,1,1,32.6,Ready To Move,,2,1,795
Plot  Area,5,1,95,Ready To Move,,5,1,800
Plot  Area,5,1,97,Ready To Move,,5,1,1400
Super built-up  Area,4,1,165,Ready To Move,,3,1,2285
Super built-up  Area,2,2,46,Ready To Move,,2,1,1243
Super built-up  Area,2,1,51.5,Ready To Move,,2,1,1263
Super built-up  Area,4,2,115,Ready To Move,,5,1,1200
Super built-up  Area,2,1,69,Ready To Move,,3,1,1345
Built-up  Area,5,3,240,Ready To Move,,5,1,4400
Super built-up  Area,2,1,58,Ready To Move,,3,1,1360
Super built-up  Area,2,1,60.55,Ready To Move,,2,1,1026
Super built-up  Area,2,2,38,Ready To Move,,2,1,1050
Super built-up  Area,3,3,76,Ready To Move,,3,1,1460
Super built-up  Area,2,2,91.48,Ready To Move,,3,1,1525
Built-up  Area,3,2,85,Ready To Move,,3,1,1843
Super built-up  Area,2,3,25,Under Construction,Aug,2,1,1000
Super built-up  Area,2,1,115,Ready To Move,,3,1,1642
Plot  Area,2,0,66,Ready To Move,,3,1,1200
Super built-up  Area,2,1,60,Ready To Move,,2,1,975
Super built-up  Area,2,1,44,Ready To Move,,3,1,1075
Super built-up  Area,2,1,77.93,Under Construction,Feb,2,1,1210
Super built-up  Area,3,2,100,Ready To Move,,3,1,2000
Super built-up  Area,2,0,68,Ready To Move,,2,1,1225
Super built-up  Area,2,1,80.04,Ready To Move,,2,1,1290
Built-up  Area,2,0,56,Ready To Move,,2,1,1220
Plot  Area,2,0,85,Ready To Move,,1,1,1500
Super built-up  Area,2,2,79,Ready To Move,,2,1,1361
Plot  Area,4,1,462,Ready To Move,,5,1,2801
Built-up  Area,2,2,85,Ready To Move,,2,1,1394
Super built-up  Area,2,1,27,Ready To Move,,2,1,870
Plot  Area,5,3,300,Ready To Move,,4,1,5000
Super built-up  Area,2,2,98,Under Construction,May,2,1,1222
Super built-up  Area,2,1,99.39,Ready To Move,,2,1,1420
Super built-up  Area,3,2,135,Ready To Move,,3,1,1846
Plot  Area,2,1,270,Ready To Move,,2,1,1688
Super built-up  Area,2,2,64.08,Ready To Move,,2,1,1167
Super built-up  Area,2,2,25,Ready To Move,,2,1,902
Super built-up  Area,4,3,135,Ready To Move,,4,1,2422
Super built-up  Area,2,2,52.5,Ready To Move,,2,1,1050
Built-up  Area,2,0,50,Ready To Move,,2,1,1000
Built-up  Area,2,0,58,Ready To Move,,2,1,1260
Built-up  Area,3,2,450,Ready To Move,,3,1,3000
Super built-up  Area,2,2,39,Ready To Move,,2,1,939
Plot  Area,6,1,150,Ready To Move,,9,1,1590
Plot  Area,1,0,37,Ready To Move,,1,1,600
Built-up  Area,2,1,59,Ready To Move,,2,1,1298
Super built-up  Area,3,2,135,Ready To Move,,3,1,1710
Super built-up  Area,2,1,45,Ready To Move,,2,1,1000
Super built-up  Area,3,3,150,Ready To Move,,3,1,3350
Plot  Area,4,1,138,Ready To Move,,2,1,1200
Built-up  Area,2,2,68,Ready To Move,,2,1,1100
Super built-up  Area,1,1,46,Ready To Move,,1,1,615
Super built-up  Area,2,1,85,Under Construction,Apr,2,1,1350
Built-up  Area,5,2,325,Ready To Move,,4,1,5000
Super built-up  Area,3,1,501,Ready To Move,,3,1,2700
Plot  Area,6,2,460,Ready To Move,,6,1,4000
Super built-up  Area,3,2,130,Ready To Move,,3,1,1718
Super built-up  Area,3,2,112,Ready To Move,,3,1,1680
Plot  Area,2,0,90,Ready To Move,,2,1,1500
Super built-up  Area,2,1,72,Under Construction,May,3,1,1157
Super built-up  Area,2,1,51,Ready To Move,,2,1,1179
Super built-up  Area,2,0,60.48,Ready To Move,,2,1,1315
Super built-up  Area,2,2,28.18,Under Construction,Mar,2,1,1105
Super built-up  Area,3,2,175,Ready To Move,,3,1,1800
Super built-up  Area,2,1,52,Ready To Move,,2,1,1010
Super built-up  Area,1,1,46,Under Construction,Jan,1,1,630
Plot  Area,2,1,36.1,Under Construction,Apr,2,1,1200
Super built-up  Area,2,1,60,Ready To Move,,2,1,1025
Super built-up  Area,2,2,59,Ready To Move,,2,1,1195
Super built-up  Area,2,1,58,Under Construction,Feb,2,1,1012
Super built-up  Area,4,2,118,Ready To Move,,3,1,1884
Super built-up  Area,2,1,37,Ready To Move,,2,1,1090
Super built-up  Area,3,2,77.99,Ready To Move,,3,1,1300
Super built-up  Area,4,2,250,Ready To Move,,4,1,2950
Super built-up  Area,3,3,85,Ready To Move,,3,1,1710
Super built-up  Area,3,1,68,Ready To Move,,3,1,1500
Super built-up  Area,2,2,53,Ready To Move,,3,1,1310
Super built-up  Area,1,1,19.9,Under Construction,Dec,2,1,674
Built-up  Area,3,2,70,Ready To Move,,3,1,1350
Built-up  Area,2,2,115,Ready To Move,,3,1,1464
Built-up  Area,2,1,29,Ready To Move,,3,1,715
Built-up  Area,2,1,40.45,Under Construction,Dec,3,1,1400
Super built-up  Area,2,2,48.75,Under Construction,Dec,3,1,1625
Built-up  Area,2,1,30.76,Under Construction,Dec,2,1,1065
Plot  Area,4,1,70,Ready To Move,,6,1,510
Super built-up  Area,3,3,90,Ready To Move,,3,1,1385
Super built-up  Area,2,1,50,Ready To Move,,2,1,1040
Super built-up  Area,3,2,110,Ready To Move,,3,1,1817
Super built-up  Area,2,1,47,Ready To Move,,2,1,1205
Super built-up  Area,2,2,33.43,Ready To Move,,2,1,1070
Super built-up  Area,2,1,52,Ready To Move,,2,1,1070
Super built-up  Area,2,1,75,Ready To Move,,2,1,1340
Super built-up  Area,2,2,35,Ready To Move,,2,1,980
Built-up  Area,2,0,44,Ready To Move,,2,1,1006
Super built-up  Area,2,1,71,Ready To Move,,2,1,1098
Built-up  Area,2,1,53.5,Ready To Move,,2,1,1200
Super built-up  Area,4,,325,Ready To Move,,4,1,4190
Super built-up  Area,2,1,62,Ready To Move,,2,1,1019
Super built-up  Area,2,2,40.21,Under Construction,May,2,1,1150
Plot  Area,3,1,120,Ready To Move,,3,1,1733
Super built-up  Area,2,2,120,Ready To Move,,2,1,1415
Built-up  Area,3,2,58,Under Construction,Dec,3,1,1750
Super built-up  Area,3,2,81,Under Construction,Dec,3,1,1537
Built-up  Area,2,2,45,Ready To Move,,2,1,1050
Super built-up  Area,3,3,55.6,Ready To Move,,3,1,1452
Super built-up  Area,2,1,95,Ready To Move,,2,1,1246
Built-up  Area,4,2,85,Ready To Move,,3,1,1890
Super built-up  Area,2,1,40,Under Construction,May,2,1,972
Plot  Area,4,2,2340,Ready To Move,,4,1,10624
Plot  Area,5,3,160,Ready To Move,,4,1,1500
Super built-up  Area,1,1,33.7,Under Construction,Aug,1,1,630
Plot  Area,5,0,80,Under Construction,Mar,8,1,1050
Built-up  Area,2,1,60,Ready To Move,,3,1,1255
Plot  Area,4,2,185,Ready To Move,,4,1,1900
Plot  Area,3,1,142,Ready To Move,,3,1,2440
Super built-up  Area,3,3,92.69,Under Construction,May,3,1,1938
Super built-up  Area,3,2,125,Ready To Move,,3,1,1711
Plot  Area,4,3,240,Ready To Move,,5,1,1200
Super built-up  Area,2,1,95,Under Construction,Jul,2,1,1392
Super built-up  Area,2,1,77,Under Construction,Mar,2,1,1225
Super built-up  Area,3,,235,Ready To Move,,4,1,3418
Super built-up  Area,3,2,120,Ready To Move,,3,1,1750
Super built-up  Area,2,1,80,Ready To Move,,3,1,1260
Super built-up  Area,1,1,31.1,Under Construction,Dec,1,1,691
Plot  Area,3,2,400,Ready To Move,,4,1,2400
Super built-up  Area,2,1,78,Ready To Move,,2,1,1285
Built-up  Area,3,2,96,Ready To Move,,3,1,1590
Super built-up  Area,3,2,65,Ready To Move,,3,1,1571
Built-up  Area,5,1,220,Ready To Move,,5,1,2800
Super built-up  Area,2,1,48.66,Ready To Move,,2,1,1060
Super built-up  Area,2,1,58,Ready To Move,,2,1,1255
Plot  Area,4,0,65,Ready To Move,,4,1,702
Plot  Area,2,2,185,Ready To Move,,3,1,2400
Super built-up  Area,2,3,81,Ready To Move,,3,1,1520
Super built-up  Area,,,70.99,Ready To Move,,3,1,1530
Super built-up  Area,2,1,45.51,Ready To Move,,2,1,1170
Super built-up  Area,3,2,75,Ready To Move,,3,1,1580
Super built-up  Area,3,2,89,Ready To Move,,3,1,1777
Super built-up  Area,2,2,55.78,Ready To Move,,2,1,1303
Built-up  Area,2,3,59,Ready To Move,,2,1,1680
Built-up  Area,2,,70,Ready To Move,,3,1,1495
Super built-up  Area,3,1,108,Under Construction,Mar,3,1,1835
Plot  Area,3,1,60,Ready To Move,,3,1,610
Built-up  Area,2,2,38,Ready To Move,,2,1,1080
Built-up  Area,2,1,29.61,Under Construction,Dec,2,1,1025
Super built-up  Area,2,1,67.48,Under Construction,Aug,2,1,1225
Super built-up  Area,1,1,34.77,Under Construction,Jan,1,1,656
Super built-up  Area,2,2,45,Ready To Move,,2,1,994
Super built-up  Area,2,1,65,Ready To Move,,2,1,1025
Built-up  Area,2,2,52,Ready To Move,,2,1,1156
Super built-up  Area,2,2,60,Ready To Move,,2,1,1250
Built-up  Area,4,3,230,Ready To Move,,4,1,3092
Super built-up  Area,4,2,122,Ready To Move,,3,1,1930
Built-up  Area,2,1,70,Ready To Move,,2,1,1020
Built-up  Area,2,1,70,Ready To Move,,3,1,1310
Super built-up  Area,1,0,27.565,Under Construction,Dec,1,1,612.5
Built-up  Area,2,3,70,Ready To Move,,2,1,1322
Super built-up  Area,2,2,57,Ready To Move,,2,1,1160
Super built-up  Area,2,2,48,Ready To Move,,2,1,1100
Built-up  Area,3,3,150,Ready To Move,,3,1,1720
Super built-up  Area,3,2,103,Under Construction,Jul,3,1,1689
Super built-up  Area,2,1,47.42,Ready To Move,,2,1,1090
Super built-up  Area,2,0,75,Ready To Move,,2,1,2000
Super built-up  Area,2,2,69,Ready To Move,,2,1,1155
Built-up  Area,6,0,230,Ready To Move,,6,1,4000
Built-up  Area,5,0,176,Under Construction,Jun,4,1,3913
Super built-up  Area,5,2,320,Ready To Move,,3,1,3520
Super built-up  Area,2,2,39.98,Under Construction,Jun,2,1,1125
Built-up  Area,3,3,92,Under Construction,Apr,3,1,1847
Super built-up  Area,2,1,76,Ready To Move,,3,1,1515
Plot  Area,7,2,225,Ready To Move,,8,1,3450
Plot  Area,3,1,120,Ready To Move,,5,1,2500
Built-up  Area,2,2,55,Ready To Move,,2,1,1130
Super built-up  Area,2,1,51,Ready To Move,,2,1,1049
Super built-up  Area,4,0,175,Ready To Move,,3,1,2650
Super built-up  Area,2,1,25.4,Under Construction,Dec,2,1,850
Super built-up  Area,3,2,115,Under Construction,Jan,3,1,1842
Plot  Area,5,3,370,Ready To Move,,5,1,2600
Super built-up  Area,2,1,72,Under Construction,Dec,2,1,1282
Super built-up  Area,2,1,40,Ready To Move,,2,1,800
Plot  Area,4,2,240,Ready To Move,,4,1,1200
Super built-up  Area,2,2,30.35,Under Construction,Sep,3,1,1190
Super built-up  Area,2,1,68,Under Construction,May,3,1,1318
Super built-up  Area,2,1,105,Under Construction,Jul,2,1,1698
Super built-up  Area,2,1,182,Ready To Move,,3,1,2030
Super built-up  Area,2,1,31.9,Ready To Move,,3,1,1276
Super built-up  Area,2,1,67,Ready To Move,,3,1,1555
Super built-up  Area,3,2,145,Under Construction,May,3,1,1881
Super built-up  Area,3,2,325,Ready To Move,,3,1,2900
Super built-up  Area,3,2,109,Under Construction,Jul,3,1,1890
Super built-up  Area,5,,135,Ready To Move,,5,1,900
Super built-up  Area,2,1,32,Under Construction,Dec,2,1,935
Super built-up  Area,2,3,58,Ready To Move,,2,1,1000
Super built-up  Area,3,2,75,Ready To Move,,3,1,1510
Built-up  Area,2,1,50,Ready To Move,,2,1,1120
Super built-up  Area,2,1,25.99,Ready To Move,,2,1,930
Super built-up  Area,2,2,42,Ready To Move,,3,1,1160
Super built-up  Area,2,2,48.1,Ready To Move,,2,1,1419
Super built-up  Area,2,2,62,Ready To Move,,2,1,1175
Built-up  Area,2,1,63,Ready To Move,,3,1,1350
Super built-up  Area,3,2,330,Ready To Move,,3,1,2215
Super built-up  Area,2,1,24.9,Ready To Move,,2,1,996
Super built-up  Area,2,1,30.13,Under Construction,Dec,2,1,1076
Super built-up  Area,4,3,115,Ready To Move,,4,1,2180
Super built-up  Area,3,3,112,Ready To Move,,3,1,1715
Super built-up  Area,2,2,45,Ready To Move,,2,1,1072
Super built-up  Area,2,1,80,Ready To Move,,2,1,1230
Super built-up  Area,2,1,65,Ready To Move,,3,1,1600
Super built-up  Area,3,1,93.25,Under Construction,Dec,3,1,1411
Built-up  Area,5,3,145,Ready To Move,,5,1,3600
Super built-up  Area,3,2,138,Ready To Move,,3,1,2404
Plot  Area,4,,190,Ready To Move,,4,1,1200
Plot  Area,3,2,226,Under Construction,Apr,3,1,1200
Built-up  Area,3,1,45,Ready To Move,,3,1,1208
Plot  Area,5,2,300,Ready To Move,,5,1,1700
Super built-up  Area,2,1,69.84,Under Construction,Dec,2,1,1225
Super built-up  Area,2,1,69,Under Construction,Sep,2,1,1162
Super built-up  Area,2,1,65,Ready To Move,,3,1,1262
Super built-up  Area,2,2,35,Under Construction,Apr,2,1,1050
Built-up  Area,2,1,33.51,Under Construction,Dec,2,1,1160
Plot  Area,3,1,61.95,Under Construction,Jul,3,1,1500
Super built-up  Area,3,3,85,Ready To Move,,3,1,1610
Super built-up  Area,2,2,41,Ready To Move,,2,1,1340
Super built-up  Area,4,2,182,Ready To Move,,3,1,2275
Super built-up  Area,2,1,58,Ready To Move,,2,1,1162
Built-up  Area,2,0,145,Ready To Move,,2,1,1500
Plot  Area,3,1,135,Ready To Move,,4,1,3150
Super built-up  Area,2,2,65,Under Construction,Jul,2,1,1170
Super built-up  Area,2,1,25,Ready To Move,,2,1,980
Built-up  Area,3,2,60,Ready To Move,,3,1,1800
Super built-up  Area,2,1,71.73,Under Construction,Dec,3,1,1423
Super built-up  Area,2,3,40,Ready To Move,,2,1,1106
Built-up  Area,2,2,27.6,Ready To Move,,2,1,1105
Plot  Area,6,2,1800,Ready To Move,,4,1,7500
Super built-up  Area,2,1,56.7,Ready To Move,,2,1,1255
